manf_year,vehicle_name,selling_price,km_driven,fuel_type,seller_type,transmission,owner_type
2019,Hyundai Elite i20 Diesel Era,650000,25000,Diesel,Individual,Manual,First Owner
2016,Honda Amaze S i-VTEC,495000,11958,Petrol,Dealer,Manual,First Owner
2015,Honda Brio S MT,371000,20000,Petrol,Dealer,Manual,First Owner
2017,Hyundai Creta 1.6 SX Option,1025000,9000,Petrol,Dealer,Manual,First Owner
2017,Mercedes-Benz S-Class S 350d Connoisseurs Edition,8150000,6500,Diesel,Dealer,Automatic,First Owner
2015,Mahindra XUV500 W8 2WD,750000,70000,Diesel,Individual,Manual,First Owner
2013,Renault Duster 85PS Diesel RxL Optional,600000,120000,Diesel,Individual,Manual,First Owner
2007,Hyundai Santro Xing XO,80000,58000,Petrol,Dealer,Manual,Second Owner
2013,Mahindra Bolero 2011-2019 SLE,325000,62200,Diesel,Dealer,Manual,First Owner
2014,Audi A6 2.0 TDI Premium Plus,1470000,34000,Diesel,Dealer,Automatic,Second Owner
2015,Fiat Avventura MULTIJET Emotion,350000,53000,Diesel,Individual,Manual,Second Owner
2013,Audi A8 4.2 TDI,2800000,49000,Diesel,Dealer,Automatic,First Owner
2017,Datsun RediGO 1.0 S,210000,15000,Petrol,Dealer,Manual,Second Owner
2013,Volkswagen Jetta 1.4 TSI Comfortline,450000,50000,Petrol,Individual,Manual,First Owner
2013,Audi A4 2.0 TDI 177 Bhp Premium Plus,1150000,53000,Diesel,Dealer,Automatic,First Owner
2009,Honda Civic 1.8 V AT,210000,63500,Petrol,Dealer,Automatic,First Owner
2018,Mercedes-Benz E-Class Exclusive E 200 BSIV,4500000,9800,Petrol,Dealer,Automatic,First Owner
2017,BMW X1 sDrive 20d xLine,2750000,13000,Diesel,Individual,Automatic,First Owner
2018,Volvo V40 D3 R Design,1975000,21000,Diesel,Dealer,Automatic,First Owner
2012,BMW 7 Series 730Ld,2500000,48000,Diesel,Dealer,Automatic,First Owner
2017,Mahindra Bolero Power Plus SLX,628000,120000,Diesel,Individual,Manual,First Owner
2010,Hyundai Sonata CRDi M/T,600000,100000,Diesel,Individual,Manual,First Owner
2017,Nissan Micra Active XV Petrol,399000,30000,Petrol,Individual,Manual,First Owner
2018,Mahindra Xylo D4,750000,87000,Diesel,Individual,Manual,First Owner
2019,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,750000,15000,Petrol,Individual,Manual,First Owner
2017,Renault KWID RXT,315000,16000,Petrol,Individual,Manual,First Owner
2012,Mahindra Xylo E4 BS III,600000,60000,Diesel,Individual,Manual,First Owner
2017,Renault KWID RXT,350000,25000,Petrol,Individual,Manual,First Owner
2016,Hyundai Creta 1.4 CRDi S,780000,60000,Diesel,Individual,Manual,First Owner
2016,Hyundai Verna 1.6 VTVT AT S Option,690000,80000,Petrol,Individual,Automatic,First Owner
2014,Mahindra Scorpio LX BSIV,555000,90000,Diesel,Individual,Manual,Second Owner
2013,Chevrolet Beat Diesel,165000,60000,Diesel,Individual,Manual,Second Owner
2012,Tata Nano Lx BSIV,100000,50000,Petrol,Individual,Manual,Second Owner
2012,Toyota Innova 2.5 GX (Diesel) 8 Seater,500000,100000,Diesel,Individual,Manual,First Owner
2016,Hyundai Creta 1.6 CRDi SX,840000,70000,Diesel,Individual,Manual,Second Owner
2016,Honda Amaze S i-Vtech,490000,50000,Petrol,Individual,Manual,First Owner
2010,Tata Indica Vista Aqua 1.4 TDI,125000,81000,Diesel,Individual,Manual,Second Owner
2012,Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,400000,120000,Diesel,Individual,Manual,Third Owner
2015,Chevrolet Cruze LTZ,1000000,3600,Diesel,Dealer,Manual,First Owner
2015,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,530000,14272,Petrol,Dealer,Manual,First Owner
2017,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,840000,49213,Diesel,Dealer,Manual,First Owner
2015,Hyundai i10 Sportz 1.1L,229999,40000,Petrol,Individual,Manual,First Owner
2012,Chevrolet Spark 1.0 LS,130000,80000,Petrol,Individual,Manual,First Owner
2015,Hyundai EON Era Plus,200000,70000,Petrol,Individual,Manual,First Owner
2011,Tata Indica Vista Aqua TDI BSIII,120000,70000,Diesel,Individual,Manual,First Owner
2003,Hyundai Santro LP zipPlus,75000,57000,Petrol,Individual,Manual,First Owner
2016,Tata Bolt Quadrajet XE,250000,120000,Diesel,Individual,Manual,First Owner
2013,Hyundai EON Era Plus,280000,3240,Petrol,Individual,Manual,Second Owner
2015,Hyundai i20 Magna 1.2,540000,5000,Petrol,Individual,Manual,First Owner
2018,Hyundai i20 1.2 Asta,700000,10000,Petrol,Individual,Manual,First Owner
2016,Hyundai i20 Asta 1.4 CRDi,430000,80000,Diesel,Individual,Manual,First Owner
2002,Hyundai Santro LE,65000,70000,Petrol,Individual,Manual,First Owner
2007,Hyundai Santro Xing XL eRLX Euro III,75000,114000,Petrol,Individual,Manual,Second Owner
2008,Hyundai Getz 1.3 GLS,210000,53772,Petrol,Individual,Manual,First Owner
2012,Mahindra Quanto C8,195000,140000,Diesel,Individual,Manual,Second Owner
2015,Chevrolet Tavera Neo 3 LS 7 C BSIII,400000,120000,Diesel,Individual,Manual,First Owner
2012,Hyundai EON Magna Plus,170000,60000,Petrol,Individual,Manual,First Owner
2016,Renault KWID RXT,225000,25000,Petrol,Individual,Manual,First Owner
2015,Chevrolet Enjoy 1.3 TCDi LS 8,300000,175000,Diesel,Individual,Manual,First Owner
2011,Chevrolet Spark 1.0 LS,99000,100000,Petrol,Individual,Manual,Third Owner
2014,Honda City i VTEC SV,620000,36000,Petrol,Individual,Manual,First Owner
2013,Honda Amaze VX i-DTEC,500000,30000,Diesel,Individual,Manual,First Owner
2010,Jaguar XJ 5.0 L V8 Supercharged,2550000,40000,Petrol,Individual,Automatic,Second Owner
2013,Honda Brio E MT,260000,70000,Petrol,Individual,Manual,Second Owner
2011,Tata Indigo CR4,150000,155500,Diesel,Individual,Manual,First Owner
2011,Hyundai i10 Asta AT,350000,50000,Petrol,Individual,Automatic,Second Owner
2016,Chevrolet Beat LT,320000,40000,Petrol,Individual,Manual,First Owner
2011,Chevrolet Beat LT,120000,90000,Petrol,Individual,Manual,Second Owner
2013,Renault Duster 110PS Diesel RxZ,320000,90000,Diesel,Individual,Manual,Second Owner
2006,Hyundai Santro Xing XG,70000,110000,Petrol,Individual,Manual,Third Owner
2013,Tata Nano LX SE,72000,25000,Petrol,Individual,Manual,First Owner
2016,Hyundai i20 Magna 1.2,600000,25000,Petrol,Individual,Manual,First Owner
2015,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,640000,23000,Petrol,Individual,Manual,First Owner
2009,Hyundai i20 Asta,280000,110000,Petrol,Individual,Manual,Second Owner
2018,Tata Nexon 1.2 Revotron XM,430000,30000,Petrol,Individual,Manual,First Owner
2019,Mahindra Bolero Power Plus SLX,800000,15000,Diesel,Individual,Manual,First Owner
2016,Volkswagen Vento Celeste 1.5 TDI Highline AT,650000,70000,Diesel,Individual,Automatic,First Owner
2005,Honda City 1.5 EXI,100000,120000,Petrol,Individual,Manual,Second Owner
2013,Mercedes-Benz New C-Class 220 CDI AT,1500000,35000,Diesel,Individual,Automatic,First Owner
2012,Renault Duster 110PS Diesel RxZ,434999,110000,Diesel,Individual,Manual,Second Owner
2010,Ford Figo Diesel Titanium,170000,90000,Diesel,Individual,Manual,Third Owner
2011,Ford Figo Diesel Titanium,190000,90000,Diesel,Individual,Manual,Third Owner
2009,Mahindra Xylo E4,229999,230000,Diesel,Individual,Manual,Third Owner
2012,Hyundai i20 1.2 Sportz,280000,110000,Petrol,Individual,Manual,Third Owner
2012,Chevrolet Beat Diesel LT,150000,60000,Diesel,Individual,Manual,First Owner
2015,Chevrolet Cruze LTZ AT,650000,50000,Diesel,Individual,Automatic,First Owner
2014,Nissan Micra XL,210000,40000,Petrol,Individual,Manual,Second Owner
2017,BMW 5 Series 520d Luxury Line,2900000,40000,Diesel,Individual,Automatic,First Owner
2013,Chevrolet Enjoy 1.3 TCDi LS 8,425000,20000,Diesel,Dealer,Manual,First Owner
2014,Hyundai EON Era Plus Option,265000,55000,Petrol,Dealer,Manual,First Owner
2018,Fiat Linea T Jet Emotion,890000,1136,Petrol,Dealer,Manual,First Owner
2013,Renault Scala RxL,365000,55000,Petrol,Dealer,Manual,First Owner
2014,Ford Figo Petrol Titanium,350000,43000,Petrol,Dealer,Manual,First Owner
2018,Skoda Rapid 1.5 TDI Ambition BSIV,940000,2650,Diesel,Dealer,Manual,First Owner
2017,Mahindra XUV500 W6 2WD,1000000,40000,Diesel,Individual,Manual,First Owner
2019,Mahindra XUV300 W8 Option,1150000,15000,Petrol,Dealer,Manual,First Owner
2015,Nissan Terrano XE D,590000,65000,Diesel,Dealer,Manual,First Owner
2012,Hyundai i20 Magna 1.4 CRDi (Diesel),385000,58000,Diesel,Dealer,Manual,First Owner
2013,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2000000,15000,Diesel,Individual,Automatic,First Owner
2012,Hyundai EON Era Plus,235000,54000,Petrol,Dealer,Manual,First Owner
2017,Volkswagen Ameo 1.5 TDI Highline,640000,56000,Diesel,Dealer,Manual,First Owner
2008,Hyundai Verna i (Petrol),120000,90000,Petrol,Individual,Manual,Second Owner
2008,Mahindra Renault Logan 1.5 DLS,89999,213000,Diesel,Individual,Manual,First Owner
2012,Chevrolet Optra Magnum 2.0 LS BSIII,180000,120000,Diesel,Individual,Manual,First Owner
2017,Mahindra Scorpio S11 BSIV,1500000,20000,Diesel,Individual,Manual,First Owner
2017,Hyundai i20 Active 1.2 SX,700000,10000,Petrol,Individual,Manual,First Owner
2015,Hyundai Grand i10 Magna,390000,90000,Petrol,Individual,Manual,First Owner
2011,Hyundai i10 Era,175000,139000,Petrol,Individual,Manual,Second Owner
2011,Toyota Innova 2.5 V Diesel 7-seater,1075000,160000,Diesel,Individual,Manual,Second Owner
2014,Honda Mobilio V i DTEC,300000,150000,Diesel,Individual,Manual,First Owner
2010,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner
2009,Tata Indica V2 2001-2011 DLS BSIII,90000,120000,Diesel,Dealer,Manual,First Owner
2011,Tata Indica Vista TDI LS,120000,120000,Diesel,Individual,Manual,Second Owner
2012,Chevrolet Beat Diesel LS,220000,100000,Diesel,Individual,Manual,Second Owner
2015,Tata Zest Quadrajet 1.3 75PS XE,300000,140000,Diesel,Dealer,Manual,First Owner
2010,Skoda Fabia 1.2L Diesel Ambiente,180000,87000,Diesel,Dealer,Manual,Second Owner
2015,Ford Figo Petrol Titanium,300000,50000,Petrol,Individual,Manual,Second Owner
2014,Toyota Innova 2.5 VX (Diesel) 8 Seater,1050000,70000,Diesel,Individual,Manual,First Owner
2014,Honda Mobilio V i DTEC,300000,150000,Diesel,Individual,Manual,First Owner
2018,Hyundai Grand i10 1.2 CRDi Asta,465000,25000,Diesel,Individual,Manual,First Owner
2011,Chevrolet Beat Diesel LT,130000,80000,Diesel,Individual,Manual,Second Owner
2018,Datsun GO Plus T Option Petrol,434999,10000,Petrol,Individual,Manual,First Owner
2018,Hyundai Grand i10 1.2 Kappa Asta,500000,32000,Petrol,Individual,Manual,First Owner
2006,Ford Fiesta Classic 1.4 SXI Duratorq,110000,120000,Diesel,Individual,Manual,Third Owner
2019,Hyundai Elite i20 Asta Option BSIV,800000,11240,Petrol,Individual,Manual,First Owner
2017,Hyundai Grand i10 CRDi Magna,490000,66000,Diesel,Dealer,Manual,First Owner
2013,Hyundai Santro Xing GL Plus,290000,49000,Petrol,Individual,Manual,First Owner
2006,Tata Sumo GX TC 7 Str BSIII,115999,100000,Diesel,Individual,Manual,Second Owner
2018,Renault KWID RXT,360000,26500,Petrol,Individual,Manual,First Owner
2009,Honda Jazz S,300000,50000,Petrol,Individual,Manual,First Owner
2017,Hyundai i20 1.4 Sportz,680000,44000,Diesel,Dealer,Manual,First Owner
2002,Tata Sumo SE Plus BSIII,100000,120000,Diesel,Individual,Manual,First Owner
2010,Mahindra Xylo E4,160000,130000,Diesel,Individual,Manual,First Owner
2009,Hyundai i20 1.4 Magna ABS,180000,60000,Diesel,Individual,Manual,Second Owner
2006,Hyundai Getz GL,130000,80000,Petrol,Individual,Manual,Third Owner
2019,Mahindra Bolero Power Plus SLX,860000,35000,Diesel,Individual,Manual,First Owner
2018,Hyundai i20 1.2 Spotz,650000,20000,Petrol,Individual,Manual,Second Owner
2009,Hyundai i20 Asta (o),300000,50000,Petrol,Individual,Manual,First Owner
2010,Hyundai i20 Asta,270000,110000,Petrol,Individual,Manual,Second Owner
2013,Hyundai Verna 1.6 SX CRDi (O),550000,29000,Diesel,Individual,Manual,First Owner
2013,Mahindra Xylo D2 BSIV,450000,120000,Diesel,Individual,Manual,First Owner
2011,Mahindra Bolero SLX 2WD BSIII,430000,70000,Diesel,Individual,Manual,Second Owner
2017,Honda Brio 1.2 E MT,350000,20000,Petrol,Individual,Manual,First Owner
2013,Toyota Etios Liva G,229999,50000,Petrol,Individual,Manual,Second Owner
2011,Mahindra Scorpio VLS AT 2.2 mHAWK,650000,70000,Diesel,Individual,Automatic,Second Owner
2011,Mahindra Bolero SLX,350000,90000,Diesel,Individual,Manual,Second Owner
2020,Mahindra XUV500 W11 Option AWD,1400000,25000,Diesel,Dealer,Manual,First Owner
2018,Tata Tiago 1.2 Revotron XZ,360000,4000,Petrol,Individual,Manual,First Owner
2018,Mahindra Marazzo M8 8Str,1300000,10000,Diesel,Individual,Manual,First Owner
2015,Renault Duster 110PS Diesel RxL,800000,15000,Diesel,Individual,Manual,First Owner
2018,Hyundai EON Magna Plus,229999,30000,Petrol,Individual,Manual,First Owner
2012,Chevrolet Spark 1.0 LT,125000,28000,Petrol,Individual,Manual,First Owner
2015,Hyundai EON 1.0 Kappa Magna Plus,160000,70000,Petrol,Individual,Manual,First Owner
2017,Ford Figo Aspire 1.2 Ti-VCT Trend,530000,10832,Petrol,Dealer,Manual,First Owner
2018,Ford Figo Aspire Facelift,624000,14681,Diesel,Dealer,Manual,First Owner
2009,Hyundai i10 Era,250000,50000,Petrol,Individual,Manual,First Owner
2016,Mahindra Bolero SLX,585000,51000,Diesel,Dealer,Manual,First Owner
2015,Hyundai Verna 1.4 VTVT,500000,25000,Petrol,Individual,Manual,First Owner
2014,Chevrolet Sail 1.2 LT ABS,350000,30000,Petrol,Individual,Manual,First Owner
2014,Honda City i-DTEC SV,495000,80000,Diesel,Dealer,Manual,First Owner
2017,Hyundai Grand i10 1.2 Kappa Asta,500000,50000,Petrol,Individual,Manual,First Owner
2015,Mahindra Bolero Power Plus Plus AC BSIV PS,430000,200000,Diesel,Individual,Manual,First Owner
2013,Hyundai Grand i10 1.2 Kappa Sportz Option,345000,44000,Petrol,Dealer,Manual,First Owner
2019,Tata Tiago 1.2 Revotron XZ,425000,19600,Petrol,Individual,Manual,First Owner
2011,Chevrolet Beat Diesel LS,106000,50000,Diesel,Individual,Manual,First Owner
2015,Datsun GO A,250000,40000,Petrol,Individual,Manual,Second Owner
2011,Skoda Yeti Ambition 4WD,350000,80000,Diesel,Individual,Manual,First Owner
2018,Hyundai Verna CRDi 1.6 EX,900000,24000,Diesel,Individual,Manual,First Owner
2017,Ford Aspire Titanium Diesel BSIV,700000,21170,Diesel,Dealer,Manual,First Owner
2013,BMW 3 Series 320d Sport,2000000,167223,Diesel,Dealer,Automatic,First Owner
2011,BMW X1 sDrive 20d Exclusive,1375000,60000,Diesel,Individual,Automatic,First Owner
2016,Toyota Innova Crysta 2.4 VX MT,1800000,141440,Diesel,Dealer,Manual,First Owner
2007,Chevrolet Tavera Neo 3 10 Seats BSIV,160000,120000,Diesel,Individual,Manual,Third Owner
2012,Mitsubishi Outlander 2.4,525000,140000,Petrol,Individual,Automatic,First Owner
2012,Mahindra XUV500 W8 2WD,850000,212814,Diesel,Dealer,Manual,First Owner
2017,Ford Figo Aspire 1.5 TDCi Titanium,700000,88635,Diesel,Dealer,Manual,First Owner
2017,Hyundai i20 1.2 Spotz,575000,20000,Petrol,Individual,Manual,Second Owner
2012,Renault Duster 110PS Diesel RxZ,350000,110000,Diesel,Individual,Manual,Second Owner
2011,Ford Endeavour Titanium 4X2,600000,149674,Diesel,Dealer,Manual,Second Owner
2007,Mahindra Scorpio 2.6 Turbo 9 Str,370000,100000,Diesel,Individual,Manual,Third Owner
2003,Tata Indica DLX,50000,120000,Diesel,Individual,Manual,Second Owner
2018,Hyundai Verna CRDi 1.6 EX,900000,25000,Diesel,Individual,Manual,First Owner
2002,Tata Indica LSI,125000,40000,Petrol,Individual,Manual,First Owner
2012,Toyota Etios Liva GD,300000,50000,Diesel,Individual,Manual,Second Owner
2013,Tata Nano STD,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner
2016,Hyundai Grand i10 Sportz,350000,25000,Petrol,Individual,Manual,First Owner
2019,Hyundai Grand i10 1.2 CRDi Asta,755000,8000,Diesel,Individual,Manual,First Owner
2006,Mahindra Bolero SLX,229999,200000,Diesel,Individual,Manual,Third Owner
2018,Mahindra Scorpio S7 140 BSIV,1100000,20000,Diesel,Individual,Manual,First Owner
2013,Volkswagen Polo Petrol Comfortline 1.2L,400000,100000,Petrol,Individual,Manual,First Owner
2015,Hyundai Xcent 1.1 CRDi Base,350000,70000,Diesel,Individual,Manual,Second Owner
2012,Chevrolet Beat Diesel PS,159000,68000,Diesel,Dealer,Manual,First Owner
2014,Tata Indigo CS Emax CNG GLX,185000,72000,CNG,Dealer,Manual,First Owner
2015,Tata Zest Quadrajet 1.3 XM,400000,100000,Diesel,Individual,Manual,First Owner
2014,Mahindra Scorpio SLE BSIV,500000,70000,Diesel,Individual,Manual,Second Owner
2010,Hyundai Santro Xing GLS CNG,130000,98000,CNG,Individual,Manual,Second Owner
2010,Chevrolet Cruze LTZ,240000,81925,Diesel,Individual,Manual,First Owner
2013,Ford Figo Diesel Celebration Edition,150000,80000,Diesel,Individual,Manual,Second Owner
2017,Renault KWID RXT Optional,270000,40000,Petrol,Individual,Manual,First Owner
2012,Hyundai EON Era Plus,200000,46000,Petrol,Individual,Manual,First Owner
2012,Mahindra XUV500 W6 2WD,550000,80000,Diesel,Individual,Manual,First Owner
2018,Renault KWID 1.0 RXT Optional,325000,35000,Petrol,Individual,Manual,First Owner
2017,Skoda Rapid 1.5 TDI AT Style BSIV,860000,82080,Diesel,Individual,Automatic,First Owner
2012,Mahindra XUV500 W8 2WD,600000,200000,Diesel,Individual,Manual,First Owner
2009,Chevrolet Spark 1.0,125000,70000,Petrol,Individual,Manual,First Owner
2010,Chevrolet Tavera Neo 3 10 Seats BSIV,300000,120000,Diesel,Individual,Manual,Third Owner
2007,Ford Fiesta 1.6 ZXi Duratec,190000,60000,Petrol,Individual,Manual,Third Owner
2011,Tata Manza Aura Quadrajet BS IV,260000,97000,Diesel,Individual,Manual,Second Owner
2010,Hyundai i20 Sportz Petrol,250000,40000,Petrol,Individual,Manual,First Owner
2019,Hyundai Grand i10 1.2 Kappa Asta,600000,10000,Petrol,Individual,Manual,First Owner
2011,Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,450000,200000,Diesel,Individual,Manual,Third Owner
2019,Tata Tiago 1.2 Revotron XZA,350000,15000,Petrol,Individual,Automatic,Second Owner
2017,Hyundai i20 Active 1.2 S,595000,33100,Petrol,Individual,Manual,Second Owner
2014,Hyundai EON Era Plus,190000,40000,Petrol,Individual,Manual,Second Owner
1999,Hyundai Santro GLS I - Euro I,50000,120000,Petrol,Individual,Manual,Second Owner
2016,Tata Safari Storme VX,1000000,70000,Diesel,Individual,Manual,First Owner
2006,Mahindra Scorpio REV 116,220000,220000,Petrol,Individual,Manual,Second Owner
2010,Mahindra Bolero SLX,400000,50000,Diesel,Individual,Manual,First Owner
2015,Datsun GO Plus A,315000,45000,Petrol,Individual,Manual,Second Owner
2014,Toyota Fortuner 4x4 MT,1000000,110000,Diesel,Individual,Manual,First Owner
2014,Ford Ecosport 1.5 DV5 MT Titanium,500000,49000,Diesel,Individual,Manual,First Owner
2018,Mahindra XUV500 W11 AT BSIV,1600000,35000,Diesel,Individual,Automatic,First Owner
2017,Mahindra Supro VX 8 Str,500000,160000,Diesel,Individual,Manual,First Owner
2008,Ford Endeavour 2.5L 4X2 MT,400000,110000,Diesel,Individual,Manual,Third Owner
2017,Mahindra KUV 100 D75 K2,409999,40000,Diesel,Individual,Manual,First Owner
2010,Tata New Safari DICOR 2.2 EX 4x2,250000,120000,Diesel,Individual,Manual,Second Owner
2015,Toyota Fortuner 4x4 MT,1400000,120000,Diesel,Individual,Manual,First Owner
2018,Honda Brio 1.2 VX MT,475000,20000,Petrol,Individual,Manual,First Owner
2018,Honda Brio 1.2 VX MT,475000,22000,Petrol,Individual,Manual,First Owner
2008,Chevrolet Spark 1.0 LS,75000,35000,Petrol,Individual,Manual,Second Owner
2013,Chevrolet Sail Hatchback LS ABS,200000,120000,Diesel,Individual,Manual,Second Owner
2019,Tata Tiago NRG Petrol,575000,8000,Petrol,Individual,Manual,First Owner
2019,Hyundai Santro Era,350000,30000,Petrol,Individual,Manual,First Owner
2011,Ford Endeavour 2.5L 4X2 MT,550000,54000,Diesel,Individual,Manual,Second Owner
2017,Hyundai Verna 1.4 VTVT,330000,80577,Petrol,Individual,Manual,First Owner
2017,Honda City i-DTEC V,1044999,25000,Diesel,Individual,Manual,First Owner
2011,Hyundai Verna 1.6 CRDI,300000,127500,Diesel,Individual,Manual,Second Owner
2015,Hyundai EON D Lite Plus,235000,40903,Petrol,Dealer,Manual,First Owner
2011,Ford Figo Petrol Titanium,120000,60000,Petrol,Individual,Manual,Third Owner
2004,Ford Endeavour 4x4 XLT,275000,22288,Diesel,Dealer,Manual,Second Owner
2011,Volkswagen Jetta 2.0 TDI Trendline,270000,180000,Diesel,Individual,Manual,Second Owner
